,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,5.986,0.505,0.7933,0.01927,0.01232,0.0108,0.0832,1.0
1,6.0,0.507,0.7951,0.01937,0.01245,0.0112,0.0827,1.0
2,6.041,0.497,0.7946,0.01924,0.01227,0.0107,0.0826,1.0
3,6.049,0.495,0.7944,0.01921,0.01224,0.0105,0.0826,1.0
4,6.092,0.495,0.7977,0.01936,0.01242,0.0111,0.0815,1.0
5,5.96,0.495,0.7882,0.01885,0.01184,0.0094,0.0846,1.0
6,6.031,0.492,0.7918,0.01907,0.01206,0.01,0.0832,1.0
7,6.075,0.496,0.7968,0.01933,0.01238,0.011,0.0818,1.0
8,6.071,0.509,0.8012,0.0197,0.01285,0.0123,0.0808,1.0
9,6.057,0.504,0.7984,0.01949,0.0126,0.0116,0.0816,1.0
10,5.98,0.491,0.788,0.01883,0.01179,0.0092,0.0845,1.0
11,5.97,0.506,0.7924,0.01924,0.01228,0.0107,0.0835,1.0
12,5.919,0.502,0.7881,0.01887,0.01189,0.0095,0.085,1.0
13,6.006,0.497,0.7917,0.01912,0.01212,0.0102,0.0834,1.0
14,5.934,0.497,0.7874,0.01878,0.01179,0.0092,0.085,1.0
15,6.062,0.508,0.8002,0.01963,0.01277,0.0121,0.0811,1.0
16,5.983,0.506,0.7934,0.01928,0.01234,0.0108,0.0832,1.0
17,5.943,0.506,0.7903,0.01915,0.01217,0.0103,0.0841,1.0
18,5.929,0.503,0.7889,0.01895,0.01198,0.0098,0.0846,1.0
19,6.057,0.507,0.7995,0.01958,0.01271,0.0119,0.0813,1.0
20,5.906,0.498,0.7862,0.01869,0.0117,0.0089,0.0856,1.0
21,6.04,0.502,0.7963,0.01937,0.01245,0.0112,0.0822,1.0
22,6.097,0.492,0.797,0.0193,0.01234,0.0109,0.0817,1.0
23,5.938,0.496,0.7874,0.01877,0.01177,0.0091,0.085,1.0
24,6.036,0.497,0.7942,0.01922,0.01225,0.0106,0.0827,1.0
25,6.066,0.505,0.7994,0.01956,0.01267,0.0118,0.0813,1.0
26,6.054,0.509,0.8,0.01963,0.01277,0.0121,0.0812,1.0
27,5.901,0.492,0.7841,0.0185,0.01149,0.0082,0.0863,1.0
28,5.954,0.499,0.7889,0.01896,0.01196,0.0097,0.0844,1.0
29,6.035,0.493,0.7926,0.01911,0.01211,0.0102,0.083,1.0
30,5.906,0.505,0.7883,0.0189,0.01194,0.0096,0.085,1.0
31,6.043,0.497,0.7947,0.01924,0.01228,0.0107,0.0825,1.0
32,6.056,0.494,0.7946,0.01921,0.01223,0.0105,0.0825,1.0
33,6.034,0.507,0.7977,0.0195,0.0126,0.0116,0.0819,1.0
34,6.03,0.491,0.7914,0.01904,0.01202,0.0099,0.0833,1.0
35,6.049,0.509,0.7996,0.01961,0.01275,0.012,0.0814,1.0
36,6.088,0.508,0.8021,0.01974,0.01289,0.0125,0.0805,1.0
37,5.919,0.497,0.7867,0.01871,0.01172,0.009,0.0854,1.0
38,6.06,0.505,0.799,0.01954,0.01265,0.0118,0.0814,1.0
39,6.013,0.503,0.7946,0.0193,0.01236,0.0109,0.0827,1.0
40,5.947,0.501,0.7891,0.01899,0.012,0.0098,0.0844,1.0
41,5.947,0.502,0.7894,0.01902,0.01204,0.0099,0.0843,1.0
42,5.934,0.503,0.7891,0.01898,0.012,0.0098,0.0845,1.0
43,5.969,0.498,0.7893,0.01901,0.012,0.0098,0.0841,1.0
44,6.031,0.501,0.7953,0.01931,0.01237,0.0109,0.0825,1.0
45,5.963,0.509,0.793,0.0193,0.01236,0.0109,0.0834,1.0
46,6.081,0.499,0.7984,0.01944,0.01252,0.0114,0.0814,1.0
47,5.966,0.5,0.7897,0.01907,0.01206,0.01,0.084,1.0
48,5.953,0.505,0.7905,0.01916,0.01218,0.0103,0.0839,1.0
