,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,1.064,0.199,0.2748,0.00914,0.00402,-0.0297,0.7453,0.9705
1,0.962,0.201,0.2588,0.00908,0.00402,-0.029,0.7537,0.9655
2,1.01,0.199,0.2664,0.00913,0.00405,-0.0293,0.7504,0.9687
3,1.035,0.2,0.2695,0.00913,0.00404,-0.0293,0.7478,0.9699
4,1.077,0.201,0.2783,0.00917,0.00404,-0.0301,0.7445,0.9709
5,1.008,0.199,0.2661,0.00913,0.00405,-0.0293,0.7506,0.9687
6,0.943,0.2,0.2565,0.0091,0.00404,-0.0289,0.7564,0.965
7,0.954,0.201,0.257,0.00906,0.00401,-0.0288,0.754,0.9649
8,1.035,0.201,0.2703,0.00915,0.00406,-0.0295,0.7481,0.97
9,1.047,0.201,0.2712,0.00913,0.00403,-0.0294,0.7463,0.97
10,1.071,0.2,0.2779,0.00918,0.00406,-0.0302,0.7455,0.9709
11,1.024,0.201,0.267,0.00907,0.00399,-0.0291,0.7472,0.9681
12,0.929,0.199,0.255,0.00912,0.00405,-0.029,0.7588,0.9647
13,1.051,0.2,0.2721,0.00913,0.00403,-0.0295,0.7461,0.9701
14,0.966,0.201,0.2605,0.00912,0.00405,-0.0292,0.7543,0.9662
