,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,18.962,0.201,248719,1.2899,0.14861,0.14465,-0.0603,0.0285,1.0
1,19.043,0.201,249951,1.2826,0.1517,0.14782,-0.0625,0.0285,1.0
2,19.025,0.203,245353,1.2856,0.15061,0.14666,-0.0613,0.0287,1.0
3,18.926,0.201,247413,1.2937,0.1471,0.14309,-0.0592,0.0286,1.0
4,18.985,0.2,251860,1.287,0.14975,0.14584,-0.0613,0.0283,1.0
5,19.05,0.199,250530,1.2831,0.15157,0.1477,-0.0624,0.0284,1.0
6,19.018,0.201,250023,1.2846,0.15082,0.14692,-0.0619,0.0284,1.0
7,18.921,0.2,246490,1.0752,0.21726,0.21397,-0.1049,0.0373,1.0
8,18.957,0.199,246921,1.293,0.1476,0.1436,-0.0595,0.0286,1.0
9,18.991,0.201,246615,1.289,0.14918,0.14521,-0.0605,0.0286,1.0
