,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,15.074,0.2,1.535,0.09195,0.08555,-0.0968,0.0613,1.0
1,14.972,0.2,1.5363,0.09039,0.08393,-0.0968,0.0648,1.0
2,14.944,0.199,1.5364,0.08993,0.08345,-0.0968,0.0659,1.0
3,15.055,0.2,1.5336,0.09183,0.08541,-0.0967,0.0632,1.0
4,15.034,0.2,1.5366,0.09121,0.0848,-0.0969,0.0621,1.0
5,14.994,0.2,1.5378,0.09052,0.0841,-0.0969,0.063,1.0
6,15.021,0.199,1.5371,0.0909,0.08449,-0.0968,0.0626,1.0
7,15.019,0.2,1.5356,0.09111,0.08468,-0.0968,0.0634,1.0
8,14.956,0.199,1.5397,0.08971,0.08328,-0.0969,0.0636,1.0
9,14.928,0.2,1.5377,0.08964,0.08317,-0.0968,0.0657,1.0
10,15.037,0.201,1.5338,0.09165,0.08522,-0.0967,0.0637,1.0
11,15.054,0.2,1.536,0.09156,0.08516,-0.0969,0.0616,1.0
12,14.998,0.201,1.5382,0.09061,0.0842,-0.0969,0.0623,1.0
13,14.957,0.199,1.5379,0.08993,0.08348,-0.0968,0.0647,1.0
14,14.928,0.199,1.5407,0.08922,0.08277,-0.0969,0.0642,1.0
15,14.931,0.199,1.5371,0.08968,0.0832,-0.0968,0.0659,1.0
16,14.937,0.2,1.5377,0.08976,0.08329,-0.0968,0.0653,1.0
17,14.975,0.201,1.5353,0.09062,0.08416,-0.0968,0.0651,1.0
18,14.968,0.201,1.5393,0.09007,0.08365,-0.0969,0.063,1.0
19,14.988,0.199,1.538,0.09034,0.08391,-0.0968,0.0633,1.0
20,15.031,0.199,1.536,0.09116,0.08474,-0.0968,0.0628,1.0
21,15.002,0.199,1.538,0.09053,0.08412,-0.0969,0.0627,1.0
22,14.928,0.201,1.5405,0.08938,0.08295,-0.0969,0.0639,1.0
23,14.942,0.2,1.54,0.08955,0.08312,-0.0969,0.0638,1.0
24,15.068,0.201,1.5336,0.09209,0.08568,-0.0968,0.0624,1.0
25,14.948,0.201,1.5399,0.08972,0.0833,-0.0969,0.0634,1.0
26,15.011,0.199,1.5377,0.09069,0.08428,-0.0969,0.0625,1.0
27,14.971,0.201,1.5357,0.09052,0.08407,-0.0968,0.065,1.0
28,14.985,0.2,1.537,0.09049,0.08405,-0.0968,0.0639,1.0
29,14.938,0.2,1.5366,0.0899,0.08342,-0.0968,0.0658,1.0
30,15.075,0.2,1.5348,0.09199,0.08559,-0.0968,0.0615,1.0
31,14.929,0.2,1.5402,0.08936,0.08292,-0.0969,0.0642,1.0
32,14.979,0.201,1.5379,0.09037,0.08395,-0.0969,0.0634,1.0
33,15.023,0.199,1.5364,0.091,0.08458,-0.0968,0.0629,1.0
